# 1 Katode	# 2 I electrons	# 3 I holes	# 4 I tot	# 5 Anode	# 6 I electrons	# 7 I holes	# 8 I tot	
0       3.93503e-18     3.22193e-21     3.93825e-18     -2.4    -2.97518e-18    -9.43705e-19    -3.91889e-18
0       3.88677e-18     3.12977e-21     3.8899e-18      -2.33333        -2.92201e-18    -8.1582e-19     -3.73783e-18
0       3.46718e-18     3.042e-21       3.47022e-18     -2.26667        -2.86851e-18    -7.35853e-19    -3.60436e-18
0       3.51411e-18     2.95833e-21     3.51707e-18     -2.2    -2.81465e-18    -6.80193e-19    -3.49484e-18
0       3.51529e-18     2.87849e-21     3.51817e-18     -2.13333        -2.76044e-18    -6.34338e-19    -3.39478e-18
0       3.49221e-18     2.80224e-21     3.49501e-18     -2.06667        -2.70588e-18    -6.06006e-19    -3.31188e-18
0       3.07869e-18     2.72934e-21     3.08142e-18     -2      -2.65094e-18    -5.36407e-19    -3.18735e-18
0       3.03844e-18     2.6596e-21      3.0411e-18      -1.93333        -2.59564e-18    -4.78993e-19    -3.07463e-18
0       2.99659e-18     2.5928e-21      2.99919e-18     -1.86667        -2.53995e-18    -4.345e-19      -2.97445e-18
0       2.80018e-18     2.52878e-21     2.8027e-18      -1.8    -2.48388e-18    -4.00883e-19    -2.88476e-18
0       2.8398e-18      2.46737e-21     2.84226e-18     -1.73333        -2.42741e-18    -3.59267e-19    -2.78668e-18
0       2.6347e-18      2.40841e-21     2.6371e-18      -1.66667        -2.37054e-18    -3.1716e-19     -2.6877e-18
0       2.58229e-18     2.35176e-21     2.58464e-18     -1.6    -2.31326e-18    -2.79077e-19    -2.59233e-18
0       2.46261e-18     2.29729e-21     2.4649e-18      -1.53333        -2.25555e-18    -2.4909e-19     -2.50464e-18
0       2.39925e-18     2.24487e-21     2.40149e-18     -1.46667        -2.19742e-18    -2.20202e-19    -2.41762e-18
0       2.28574e-18     2.19438e-21     2.28794e-18     -1.4    -2.13885e-18    -1.89454e-19    -2.32831e-18
0       2.33819e-18     2.14573e-21     2.34034e-18     -1.33333        -2.07984e-18    -1.6356e-19     -2.2434e-18
0       2.22371e-18     2.09881e-21     2.22581e-18     -1.26667        -2.02038e-18    -1.42768e-19    -2.16314e-18
0       1.97391e-18     2.05352e-21     1.97596e-18     -1.2    -1.96045e-18    -1.21512e-19    -2.08196e-18
0       2.0659e-18      2.00979e-21     2.06791e-18     -1.13333        -1.90004e-18    -1.01834e-19    -2.00188e-18
0       1.8073e-18      1.96752e-21     1.80926e-18     -1.06667        -1.83916e-18    -8.629e-20      -1.92545e-18
0       1.961e-18       1.92665e-21     1.96293e-18     -1      -1.77779e-18    -7.17725e-20    -1.84956e-18
0       1.96886e-18     1.88711e-21     1.97075e-18     -0.933333       -1.71591e-18    -5.86047e-20    -1.77452e-18
0       1.73255e-18     1.84881e-21     1.7344e-18      -0.866667       -1.65353e-18    -4.86316e-20    -1.70216e-18
0       1.66974e-18     1.81171e-21     1.67155e-18     -0.8    -1.59063e-18    -3.90789e-20    -1.62971e-18
0       1.76157e-18     1.77575e-21     1.76335e-18     -0.733333       -1.5272e-18     -3.1836e-20     -1.55903e-18
0       1.52667e-18     1.74087e-21     1.52841e-18     -0.666667       -1.46324e-18    -2.48452e-20    -1.48808e-18
0       1.33241e-18     1.70701e-21     1.33411e-18     -0.6    -1.39873e-18    -1.98307e-20    -1.41856e-18
0       1.41951e-18     1.67413e-21     1.42118e-18     -0.533333       -1.33368e-18    -1.65163e-20    -1.3502e-18
0       1.21206e-18     1.64218e-21     1.2137e-18      -0.466667       -1.26808e-18    -1.2797e-20     -1.28088e-18
0       1.35728e-18     1.61113e-21     1.35889e-18     -0.4    -1.20192e-18    -1.01861e-20    -1.21211e-18
0       1.11432e-18     1.58091e-21     1.1159e-18      -0.333333       -1.13521e-18    -8.69433e-21    -1.1439e-18
0       1.13075e-18     1.55146e-21     1.1323e-18      -0.266667       -1.06792e-18    -7.26432e-21    -1.07518e-18
0       8.61349e-19     1.52221e-21     8.62871e-19     -0.2    -9.9972e-19     -6.69231e-21    -1.00641e-18
0       9.05075e-19     1.48637e-21     9.06562e-19     -0.133333       -9.26476e-19    -5.46642e-21    -9.31943e-19
0       6.04309e-19     1.3564e-21      6.05666e-19     -0.0666667      -7.97545e-19    -3.88302e-21    -8.01428e-19
0	1.3442e-22	1.37566e-21	1.34557e-23	0.0	-1.2525e-22	-0.63458e-24	-1.26884e-20
0	-4.47508e-18	-8.20922e-21	-4.48329e-18	0.05	4.59108e-18	1.1815e-20	4.60289e-18	
0	-3.37381e-17	-6.41155e-20	-3.38023e-17	0.1	3.37962e-17	7.8248e-20	3.38744e-17	
0	-2.20007e-16	-4.45506e-19	-2.20452e-16	0.15	2.2001e-16	4.88371e-19	2.20498e-16	
0	-1.40052e-15	-3.04806e-18	-1.40357e-15	0.2	1.40052e-15	3.16878e-18	1.40369e-15	
0	-8.82476e-15	-2.08086e-17	-8.84557e-15	0.25	8.82459e-15	2.11552e-17	8.84574e-15	
0	-5.5067e-14	-1.42014e-16	-5.5209e-14	0.3	5.50659e-14	1.43003e-16	5.52089e-14	
0	-3.3981e-13	-9.69172e-16	-3.40779e-13	0.35	3.39807e-13	9.71997e-16	3.40779e-13	
0	-2.06937e-12	-6.61387e-15	-2.07598e-12	0.4	2.06936e-12	6.62198e-15	2.07598e-12	
0	-1.24033e-11	-4.51314e-14	-1.24485e-11	0.45	1.24033e-11	4.5154e-14	1.24485e-11	
0	-7.29263e-11	-3.0792e-13	-7.32342e-11	0.5	7.29263e-11	3.07985e-13	7.32342e-11	
0	-4.1885e-10	-2.10029e-12	-4.2095e-10	0.55	4.1885e-10	2.10048e-12	4.2095e-10	
0	-2.33774e-09	-1.43184e-11	-2.35206e-09	0.6	2.33774e-09	1.4319e-11	2.35206e-09	
0	-1.25935e-08	-9.75065e-11	-1.2691e-08	0.65	1.25935e-08	9.75082e-11	1.2691e-08	
0	-6.47934e-08	-6.62125e-10	-6.54556e-08	0.7	6.47934e-08	6.62131e-10	6.54556e-08	
0	-3.11565e-07	-4.45502e-09	-3.1602e-07	0.75	3.11565e-07	4.45504e-09	3.1602e-07	
0	-1.33437e-06	-2.89809e-08	-1.36335e-06	0.8	1.33437e-06	2.89809e-08	1.36335e-06	
0	-4.69317e-06	-1.68328e-07	-4.8615e-06	0.85	4.69317e-06	1.68328e-07	4.8615e-06	
0	-1.26031e-05	-7.43152e-07	-1.33463e-05	0.9	1.26031e-05	7.43153e-07	1.33463e-05	
0	-2.58761e-05	-2.22228e-06	-2.80984e-05	0.95	2.58761e-05	2.22228e-06	2.80984e-05	
