"x"	"y"	"x"	"y"
0	1.65665e-26	0	2.33927e-29
0.1	3.72483e-12	0.1	3.17828e-21
0.2	8.04231e-12	0.2	3.41869e-21
0.3	1.58748e-11	0.3	3.6193e-21
0.4	2.93246e-11	0.4	3.85359e-21
0.5	5.11088e-11	0.5	4.13568e-21
0.6	8.51178e-11	0.6	4.48226e-21
0.7	1.36139e-10	0.7	4.92213e-21
0.8	2.08647e-10	0.8	5.50512e-21
0.9	3.06992e-10	0.9	6.30198e-21
1	4.36868e-10	1	7.40411e-21
	
