"x"	"y"	"x"	"y"
0	1.2144e-26	0	1.68374e-29
0.1	-3.72483e-12	0.1	3.05032e-30
0.2	-8.04231e-12	0.2	-6.9547e-30
0.3	-1.58748e-11	0.3	-6.61924e-30
0.4	-2.93246e-11	0.4	-3.21876e-29
0.5	-5.11088e-11	0.5	-2.12876e-30
0.6	-8.51178e-11	0.6	-2.68444e-29
0.7	-1.36139e-10	0.7	4.72208e-28
0.8	-2.08647e-10	0.8	4.69214e-28
0.9	-3.06992e-10	0.9	-4.48877e-29
1	-4.36868e-10	1	1.6466e-29
	
