"x"	"y"
1	2.31869e-11
0.85	5.09929e-11
0.7	1.13996e-10
0.55	2.59123e-10
0.4	5.98896e-10
0.25	1.40541e-09
0.1	3.33262e-09
-0.05	7.89908e-09
-0.2	1.83479e-08
-0.35	4.05531e-08
-0.5	8.24427e-08
-0.65	1.50225e-07
-0.8	2.43723e-07
-0.95	3.56168e-07
-1.1	4.78461e-07
-1.25	6.03099e-07
-1.4	7.25407e-07
-1.55	8.43022e-07
-1.7	9.55017e-07
-1.85	1.06123e-06
-2	1.16186e-06

