"x"	"y"
1.4	2.01346e-11
1.255	4.09123e-11
1.11	8.42429e-11
0.965	1.75776e-10
0.82	3.71629e-10
0.675	7.96088e-10
0.53	1.72731e-09
0.385	3.79076e-09
0.24	8.38185e-09
0.095	1.8516e-08
-0.05	4.02466e-08
-0.195	8.41204e-08
-0.34	1.64488e-07
-0.485	2.94029e-07
-0.63	4.75798e-07
-0.775	7.00412e-07
-0.92	9.51159e-07
-1.065	1.21155e-06
-1.21	1.46975e-06
-1.355	1.71903e-06
-1.5	1.95639e-06

