"x"	"y"	"x"	"y"
-0.5	1.04736e-12	0	-4.02302e-29
-0.25	2.09053e-11	0.1	-1.56213e-20
0	4.37211e-10	0.2	-8.24888e-20
0.25	8.5862e-09	0.3	-1.05609e-17
0.5	1.25655e-07	0.4	-3.16446e-16
0.75	8.9015e-07	0.5	-2.65112e-15
1	2.88042e-06	0.6	-1.11637e-14
1.25	5.95151e-06	0.7	-3.43358e-14
1.5	9.75715e-06	0.8	-8.14543e-14
1.75	1.40144e-05	0.9	-1.77793e-13
2	1.84963e-05	1	-3.43336e-13
	
