#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	IntrinsicDensity	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eAlphaAvalanche	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hAlphaAvalanche	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.0000000000e+17	-3.9082033054e-13	-2.8525064768e-13	-9.4169500851e+03	7.0755402588e-09	1.1241592308e+00	0.0000000000e+00	8.6661985426e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7434162544e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	-8.0577382948e+03	1.5208344775e-08	-1.0374972453e+00	0.0000000000e+00	1.0000000000e+18	9.4169500851e+03	0.0000000000e+00	1.4170000000e+03	3.4441776453e-17	1.0589916111e+07	0.0000000000e+00	1.1556332751e+02	9.4169500851e+03	0.0000000000e+00	4.7050000000e+02	0.0000000000e+00	4.1180122068e+07	8.1328045163e-09	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388553e+06	9.3178883082e-20	-7.1576423800e-14	-7.4715215774e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080003e+05	-5.0025008272e-11	-9.4394122492e-12	-1.4065850077e+06	1	0.0000000000e+00	2.5000000373e-02	2.5000000373e-02	0.0000000000e+00
1.0000000000e+17	-4.5335167025e-13	-2.8699524110e-13	-9.3717156719e+03	2.8033183481e+21	1.1241592308e+00	0.0000000000e+00	8.5720290373e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7528332049e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	9.3592181409e+14	5.2614531795e+21	-1.0384389404e+00	0.0000000000e+00	1.0077050296e+18	9.3717156719e+03	0.0000000000e+00	1.4170000000e+03	7.4715219322e-04	1.0553221760e+07	0.0000000000e+00	8.6409513666e+15	9.3717156719e+03	0.0000000000e+00	4.7050000000e+02	1.4065850745e-01	3.9104175703e+07	2.4581348314e+21	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388550e+06	-6.2531199949e-14	-6.0302413290e-14	-7.4456530831e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080030e+05	-6.0029123124e-12	2.0836405880e-11	-1.2967369024e+06	1	1.0000000475e-03	2.5000000373e-02	2.5000000373e-02	1.0000000475e-03
1.0000000000e+17	-5.1588296338e-13	-2.8873980789e-13	-9.3264812587e+03	5.6066366961e+21	1.1241592308e+00	0.0000000000e+00	8.4778595320e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7622501554e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	1.8718436282e+15	1.0522906359e+22	-1.0393806354e+00	0.0000000000e+00	1.0154100591e+18	9.3264812587e+03	0.0000000000e+00	1.4170000000e+03	1.4943043864e-03	1.0516527408e+07	0.0000000000e+00	1.7281902733e+16	9.3264812587e+03	0.0000000000e+00	4.7050000000e+02	2.8131701490e-01	3.7028229338e+07	4.9162696629e+21	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388547e+06	-1.2506249308e-13	-4.9028384933e-14	-7.4197845888e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080056e+05	3.8019118049e-11	5.1112180615e-11	-1.1868887971e+06	1	2.0000000950e-03	2.5000000373e-02	2.5000000373e-02	2.0000000950e-03
1.0000000000e+17	-5.7841424923e-13	-2.9048437447e-13	-9.2812468507e+03	8.4099547178e+21	1.1241592308e+00	0.0000000000e+00	8.3836900376e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7716671049e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.8077653333e+15	1.5784358926e+22	-1.0403223304e+00	0.0000000000e+00	1.0231150878e+18	9.2812468507e+03	0.0000000000e+00	1.4170000000e+03	2.2414564927e-03	1.0479833061e+07	0.0000000000e+00	2.5922853094e+16	9.2812468507e+03	0.0000000000e+00	4.7050000000e+02	4.2197550598e-01	3.4952283214e+07	7.3744042081e+21	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388545e+06	-1.8759377892e-13	-3.7754357888e-14	-7.3939160975e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080082e+05	8.2041143286e-11	8.1387951826e-11	-1.0770407046e+06	1	3.0000000261e-03	2.5000000373e-02	2.5000000373e-02	3.0000000261e-03
1.0000000000e+17	-6.4094582917e-13	-2.9222894341e-13	-9.2360124323e+03	1.1213273392e+22	1.1241592308e+00	0.0000000000e+00	8.2895205213e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7810840565e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	3.7436872564e+15	2.1045812718e+22	-1.0412640256e+00	0.0000000000e+00	1.0308201182e+18	9.2360124323e+03	0.0000000000e+00	1.4170000000e+03	2.9886087729e-03	1.0443138705e+07	0.0000000000e+00	3.4563805466e+16	9.2360124323e+03	0.0000000000e+00	4.7050000000e+02	5.6263402981e-01	3.2876336608e+07	9.8325393257e+21	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388542e+06	-2.5012540546e-13	-2.6480389504e-14	-7.3680476003e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080109e+05	1.2606308336e-10	1.1166374027e-10	-9.6719258657e+05	1	4.0000001900e-03	2.5000000373e-02	2.5000000373e-02	4.0000001900e-03
1.0000000000e+17	-7.0347710046e-13	-2.9397350958e-13	-9.1907780348e+03	1.4016590761e+22	1.1241592308e+00	0.0000000000e+00	8.1953510489e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7905010038e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	4.6796087436e+15	2.6307264060e+22	-1.0422057203e+00	0.0000000000e+00	1.0385251451e+18	9.1907780348e+03	0.0000000000e+00	1.4170000000e+03	3.7357607052e-03	1.0406444366e+07	0.0000000000e+00	4.3204753815e+16	9.1907780348e+03	0.0000000000e+00	4.7050000000e+02	7.0329248814e-01	3.0800390968e+07	1.2290673299e+22	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388540e+06	-3.1265667675e-13	-1.5206365084e-14	-7.3421791150e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080135e+05	1.7008509834e-10	1.4193950443e-10	-8.5734451964e+05	1	4.9999998882e-03	2.5000000373e-02	2.5000000373e-02	4.9999998882e-03
1.0000000000e+17	-7.6600840087e-13	-2.9571807657e-13	-9.1455436164e+03	1.6819909436e+22	1.1241592308e+00	0.0000000000e+00	8.1011815326e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7999179554e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	5.6155306667e+15	3.1568717852e+22	-1.0431474154e+00	0.0000000000e+00	1.0462301755e+18	9.1455436164e+03	0.0000000000e+00	1.4170000000e+03	4.4829129854e-03	1.0369750010e+07	0.0000000000e+00	5.1845706188e+16	9.1455436164e+03	0.0000000000e+00	4.7050000000e+02	8.4395101196e-01	2.8724444361e+07	1.4748808416e+22	0.0000000000e+00	0.0000000000e+00	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388537e+06	-3.7518797715e-13	-3.9323354134e-15	-7.3163106177e+03	0.0000000000e+00	0.0000000000e+00	-1.8829080161e+05	2.1410713383e-10	1.7221528269e-10	-7.4749640157e+05	1	6.0000000522e-03	2.5000000373e-02	2.5000000373e-02	6.0000000522e-03
#1.0000000000e+17	-7.3474264584e-13	-2.5268071679e-13	-9.0669985369e+03	1.9614509771e+22	1.1241592308e+00	0.0000000000e+00	8.0112527436e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.8089108343e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	5.8367831634e+15	3.6150918392e+22	-1.0440467033e+00	0.0000000000e+00	1.0534441881e+18	9.0669985369e+03	0.0000000000e+00	1.4170000000e+03	5.2058135464e-03	1.0310474820e+07	0.0000000000e+00	5.9280971267e+16	9.0669985369e+03	0.0000000000e+00	4.7050000000e+02	8.8162691231e-01	2.6335547441e+07	1.6536408621e+22	-3.8488892794e-19	5.3456795547e-19	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388531e+06	-3.4392194259e-13	7.6090601256e-15	-7.2745255645e+03	-3.8488892794e-19	5.3456795547e-19	-1.8829080224e+05	1.9828666342e-10	1.5824333354e-10	-6.3693060489e+05	1	7.0000002161e-03	2.5000000373e-02	2.5000000373e-02	7.0000002161e-03
#1.0000000000e+17	-6.7221134543e-13	-1.9471607173e-13	-8.9773499093e+03	2.2406203995e+22	1.1241592308e+00	0.0000000000e+00	7.9227375296e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.8177623557e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	5.8198126364e+15	4.0506701293e+22	-1.0449318555e+00	0.0000000000e+00	1.0604945281e+18	8.9773499093e+03	0.0000000000e+00	1.4170000000e+03	5.9206302050e-03	1.0243672690e+07	0.0000000000e+00	6.6314340782e+16	8.9773499093e+03	0.0000000000e+00	4.7050000000e+02	8.8497528854e-01	2.3842333802e+07	1.8100497298e+22	-3.8488892794e-19	5.3456795547e-19	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388523e+06	-2.8139064218e-13	1.9239506707e-14	-7.2274349953e+03	-3.8488892794e-19	5.3456795547e-19	-1.8829080298e+05	1.6251875958e-10	1.2952228336e-10	-5.2612558212e+05	1	8.0000003800e-03	2.5000000373e-02	2.5000000373e-02	8.0000003800e-03
1.0000000000e+17	-6.0968010326e-13	-1.3675148066e-13	-8.8877013652e+03	2.5197895618e+22	1.1241592308e+00	0.0000000000e+00	7.8342223981e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.8266138688e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	5.8028421252e+15	4.4862480138e+22	-1.0458170068e+00	0.0000000000e+00	1.0675448616e+18	8.8877013652e+03	0.0000000000e+00	1.4170000000e+03	6.6354461978e-03	1.0176870622e+07	0.0000000000e+00	7.3347703746e+16	8.8877013652e+03	0.0000000000e+00	4.7050000000e+02	8.8832366166e-01	2.1349122485e+07	1.9664584519e+22	-3.8488892794e-19	5.3456795547e-19	-1.9235296553e+06	0.0000000000e+00	0.0000000000e+00	-1.7352388516e+06	-2.1885940001e-13	3.0869942457e-14	-7.1803444699e+03	-3.8488892794e-19	5.3456795547e-19	-1.8829080373e+05	1.2675088906e-10	1.0080125994e-10	-4.1532066255e+05	1	8.9999996126e-03	2.5000000373e-02	2.5000000373e-02	8.9999996126e-03
