"ArsenicActiveConcentration","BoronActiveConcentration","DopingConcentration","Electron density [cm-3]","Electrostatic potential [V]","Hole density [cm-3]","PhosphorusActiveConcentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.4000000209e-02,2.5000000373e-02,2.5000000373e-02,2.4000000209e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.5000000373e-02,2.5000000373e-02,2.5000000373e-02,2.5000000373e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.6000000536e-02,2.5000000373e-02,2.5000000373e-02,2.6000000536e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.7000000700e-02,2.5000000373e-02,2.5000000373e-02,2.7000000700e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.8000000864e-02,2.5000000373e-02,2.5000000373e-02,2.8000000864e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.8999999166e-02,2.5000000373e-02,2.5000000373e-02,2.8999999166e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.9999999329e-02,2.5000000373e-02,2.5000000373e-02,2.9999999329e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.0999999493e-02,2.5000000373e-02,2.5000000373e-02,3.0999999493e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.2000001520e-02,2.5000000373e-02,2.5000000373e-02,3.2000001520e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.2999999821e-02,2.5000000373e-02,2.5000000373e-02,3.2999999821e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.4000001848e-02,2.5000000373e-02,2.5000000373e-02,3.4000001848e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.5000000149e-02,2.5000000373e-02,2.5000000373e-02,3.5000000149e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.5999998450e-02,2.5000000373e-02,2.5000000373e-02,3.5999998450e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.7000000477e-02,2.5000000373e-02,2.5000000373e-02,3.7000000477e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.7999998778e-02,2.5000000373e-02,2.5000000373e-02,3.7999998778e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.9000000805e-02,2.5000000373e-02,2.5000000373e-02,3.9000000805e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.9999999106e-02,2.5000000373e-02,2.5000000373e-02,3.9999999106e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.1000001132e-02,2.5000000373e-02,2.5000000373e-02,4.1000001132e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.1999999434e-02,2.5000000373e-02,2.5000000373e-02,4.1999999434e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.3000001460e-02,2.5000000373e-02,2.5000000373e-02,4.3000001460e-02
