#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DisplaceCurrentDensity	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-4.34E+003	-2.56E+002	-8.81E+004	-1.17E+001	1.12E+000	0.00E+000	5.09E-001	0.00E+000	2.32E+015	-9.77E+016	4.07E+000	5.16E-002	9.98E-026	3.00E+002	1.00E-001	-9.77E+016	-1.70E+014	-6.15E-001	6.96E+010	1.40E+004	9.98E-026	1.42E+003	4.51E-002	1.28E+007	3.45E+010	0.00E+000	0.00E+000	4.71E+002	8.08E-010	2.30E-001	-1.70E+014	-2.22E+000	1.27E-001	-1.55E-001	-2.22E+000	1.27E-001	-1.55E-001	-1.01E+004	-1.23E+001	-9.72E+002	-5.91E-012	-8.52E-015	-5.44E-011	-3.78E-004	-2.21E-005	-8.32E-004	1	2.19E-001	1.50E-001	2.00E-002	2.19E-001
1.00E+017	-4.27E+003	-2.44E+002	-8.90E+004	-1.22E+001	1.12E+000	0.00E+000	4.83E-001	0.00E+000	2.60E+015	-9.74E+016	4.07E+000	7.78E-002	1.05E-025	3.00E+002	1.00E-001	-9.74E+016	-1.92E+014	-6.41E-001	8.60E+010	1.42E+004	1.05E-025	1.42E+003	4.54E-002	1.29E+007	1.73E+010	0.00E+000	0.00E+000	4.71E+002	9.97E-010	2.68E-001	-1.92E+014	-2.73E+000	1.57E-001	-1.92E-001	-2.73E+000	1.57E-001	-1.92E-001	-1.01E+004	-1.35E+001	-1.00E+003	-4.89E-012	-9.57E-015	-4.42E-011	-4.48E-004	-2.68E-005	-9.53E-004	1	2.22E-001	1.50E-001	2.00E-002	2.22E-001
1.00E+017	-4.20E+003	-2.32E+002	-9.00E+004	-1.27E+001	1.12E+000	0.00E+000	4.57E-001	0.00E+000	2.88E+015	-9.71E+016	4.07E+000	1.04E-001	7.37E-026	3.00E+002	1.00E-001	-9.71E+016	-2.14E+014	-6.67E-001	1.02E+011	1.44E+004	7.37E-026	1.42E+003	4.57E-002	1.29E+007	1.93E+008	0.00E+000	0.00E+000	4.71E+002	1.19E-009	3.06E-001	-2.14E+014	-3.24E+000	1.87E-001	-2.28E-001	-3.24E+000	1.87E-001	-2.28E-001	-1.00E+004	-1.47E+001	-1.03E+003	-3.87E-012	-1.06E-014	-3.39E-011	-5.19E-004	-3.15E-005	-1.07E-003	1	2.25E-001	1.50E-001	2.00E-002	2.25E-001
1.00E+017	-4.25E+003	-1.82E+002	-8.99E+004	-1.34E+003	1.12E+000	0.00E+000	4.30E-001	0.00E+000	3.27E+015	-9.67E+016	4.07E+000	1.31E-001	1.58E-025	3.00E+002	1.00E-001	-9.67E+016	-1.79E+014	-6.94E-001	1.07E+013	1.42E+004	1.58E-025	1.42E+003	4.59E-002	1.28E+007	1.62E+008	0.00E+000	0.00E+000	4.71E+002	1.68E-009	5.28E-001	-1.79E+014	-5.35E+001	2.15E-001	-2.99E+000	-5.35E+001	2.15E-001	-2.99E+000	-1.00E+004	-9.31E+000	-9.61E+002	-3.30E-012	-8.86E-015	-2.85E-011	-8.41E-004	3.90E-005	-1.54E-003	1	2.28E-001	1.50E-001	2.00E-002	2.28E-001
1.00E+017	-4.31E+003	-1.32E+002	-8.98E+004	-2.67E+003	1.12E+000	0.00E+000	4.03E-001	0.00E+000	3.66E+015	-9.63E+016	4.07E+000	1.58E-001	2.39E-025	3.00E+002	1.00E-001	-9.64E+016	-1.45E+014	-7.21E-001	2.12E+013	1.41E+004	2.39E-025	1.42E+003	4.62E-002	1.27E+007	1.31E+008	0.00E+000	0.00E+000	4.71E+002	2.18E-009	7.50E-001	-1.45E+014	-1.04E+002	2.42E-001	-5.74E+000	-1.04E+002	2.42E-001	-5.74E+000	-1.00E+004	-3.90E+000	-8.92E+002	-2.72E-012	-7.10E-015	-2.32E-011	-1.16E-003	1.10E-004	-2.01E-003	1	2.31E-001	1.50E-001	2.00E-002	2.31E-001
1.00E+017	-4.36E+003	-8.24E+001	-8.97E+004	-4.00E+003	1.12E+000	0.00E+000	3.76E-001	0.00E+000	4.05E+015	-9.60E+016	4.07E+000	1.85E-001	3.21E-025	3.00E+002	1.00E-001	-9.60E+016	-1.11E+014	-7.48E-001	3.18E+013	1.39E+004	3.21E-025	1.42E+003	4.65E-002	1.26E+007	1.00E+008	0.00E+000	0.00E+000	4.71E+002	2.68E-009	9.72E-001	-1.11E+014	-1.54E+002	2.70E-001	-8.50E+000	-1.54E+002	2.70E-001	-8.50E+000	-1.00E+004	1.51E+000	-8.23E+002	-2.15E-012	-5.35E-015	-1.78E-011	-1.48E-003	1.80E-004	-2.47E-003	1	2.34E-001	1.50E-001	2.00E-002	2.34E-001
1.00E+017	-4.41E+003	-3.27E+001	-8.96E+004	-5.32E+003	1.12E+000	0.00E+000	3.49E-001	0.00E+000	4.44E+015	-9.56E+016	4.07E+000	2.12E-001	3.80E-025	3.00E+002	1.00E-001	-9.56E+016	-7.72E+013	-7.75E-001	4.24E+013	1.37E+004	3.80E-025	1.42E+003	4.67E-002	1.25E+007	6.96E+007	0.00E+000	0.00E+000	4.71E+002	3.18E-009	1.19E+000	-7.72E+013	-2.04E+002	2.98E-001	-1.13E+001	-2.04E+002	2.98E-001	-1.13E+001	-9.99E+003	6.92E+000	-7.55E+002	-1.57E-012	-3.59E-015	-1.24E-011	-1.81E-003	2.51E-004	-2.94E-003	1	2.37E-001	1.50E-001	2.00E-002	2.37E-001
1.00E+017	-4.46E+003	1.71E+001	-8.95E+004	-6.65E+003	1.12E+000	0.00E+000	3.22E-001	0.00E+000	4.83E+015	-9.52E+016	4.07E+000	2.39E-001	4.61E-025	3.00E+002	1.00E-001	-9.52E+016	-4.31E+013	-8.02E-001	5.29E+013	1.36E+004	4.61E-025	1.42E+003	4.70E-002	1.23E+007	3.88E+007	0.00E+000	0.00E+000	4.71E+002	3.68E-009	1.42E+000	-4.31E+013	-2.55E+002	3.25E-001	-1.40E+001	-2.55E+002	3.25E-001	-1.40E+001	-9.97E+003	1.23E+001	-6.86E+002	-9.97E-013	-1.84E-015	-7.09E-012	-2.13E-003	3.21E-004	-3.41E-003	1	2.40E-001	1.50E-001	2.00E-002	2.40E-001
1.00E+017	-4.51E+003	6.68E+001	-8.94E+004	-7.98E+003	1.12E+000	0.00E+000	2.95E-001	0.00E+000	5.22E+015	-9.48E+016	4.07E+000	2.66E-001	5.42E-025	3.00E+002	1.00E-001	-9.48E+016	-9.01E+012	-8.29E-001	6.35E+013	1.34E+004	5.42E-025	1.42E+003	4.72E-002	1.22E+007	7.99E+006	0.00E+000	0.00E+000	4.71E+002	4.17E-009	1.64E+000	-9.01E+012	-3.05E+002	3.53E-001	-1.68E+001	-3.05E+002	3.53E-001	-1.68E+001	-9.96E+003	1.77E+001	-6.17E+002	-4.23E-013	-8.25E-017	-1.73E-012	-2.45E-003	3.92E-004	-3.87E-003	1	2.43E-001	1.50E-001	2.00E-002	2.43E-001
1.00E+017	-4.96E+003	8.35E+001	-8.99E+004	-5.99E+004	1.12E+000	0.00E+000	2.68E-001	0.00E+000	5.58E+015	-9.44E+016	4.07E+000	2.93E-001	5.68E-025	3.00E+002	1.00E-001	-9.49E+016	-3.76E+011	-8.57E-001	4.76E+014	1.28E+004	5.68E-025	1.42E+003	4.74E-002	1.24E+007	2.16E+005	0.00E+000	0.00E+000	4.71E+002	6.10E-009	3.83E+000	-3.76E+011	-1.34E+003	3.91E-001	-5.27E+001	-1.34E+003	3.91E-001	-5.27E+001	-9.81E+003	2.11E+001	-5.17E+002	-2.17E-013	2.77E-016	-3.05E-013	-6.67E-003	2.49E-004	-6.45E-003	1	2.46E-001	1.50E-001	2.00E-002	2.46E-001
