#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-1.19E+004	-4.35E+002	5.68E+004	4.74E+017	1.00E+017	1.56E-001	4.74E+017	3.74E+017	3.74E+017	1.42E+003	3.87E+017	4.34E-002	7.29E-004	4.50E-001	0.00E+000	3.47E+005	2.91E+006	4.70E+002	2.94E+002	4.41E-002	9.45E-011	-4.06E-001	0.00E+000	0.00E+000	-9.69E-001	-3.81E-019	2.50E-020	1.14E-018	0.00E+000	0.00E+000	-5.19E+003	-4.46E+002	-6.23E+003	0.00E+000	0.00E+000	0.00E+000	1.61E+002	5.30E-001	-6.16E+002	1.83E-005	-1.06E-006	-6.02E-005	0.00E+000	0.00E+000	0.00E+000	-1.32E+004	-4.36E+001	5.06E+004	-4.23E-019	2.47E-020	1.39E-018	1	0.00E+000	0.00E+000	2.00E-002	2.60E-001
1.00E+017	-1.82E+004	-5.61E+002	6.19E+004	5.29E+017	1.00E+017	1.54E-001	5.29E+017	4.29E+017	4.29E+017	1.42E+003	4.13E+017	4.34E-002	7.82E-004	4.52E-001	0.00E+000	4.08E+005	2.80E+006	4.70E+002	2.72E+002	4.41E-002	9.99E-011	-4.08E-001	0.00E+000	0.00E+000	-9.70E-001	-4.99E-019	1.85E-020	1.17E-018	0.00E+000	0.00E+000	-6.70E+003	-9.54E+002	-6.84E+003	0.00E+000	0.00E+000	0.00E+000	1.03E+002	1.72E+001	-7.08E+002	1.56E-005	-1.50E-006	-6.28E-005	0.00E+000	0.00E+000	0.00E+000	-1.06E+004	-1.77E+003	7.29E+004	-2.86E-019	2.76E-020	1.15E-018	1	3.00E-003	3.00E-003	2.00E-002	2.60E-001
1.00E+017	-2.49E+004	-6.29E+002	6.93E+004	5.89E+017	1.00E+017	1.52E-001	5.89E+017	4.89E+017	4.89E+017	1.42E+003	4.49E+017	4.33E-002	8.13E-004	4.54E-001	0.00E+000	4.55E+005	2.75E+006	4.70E+002	2.53E+002	4.41E-002	1.05E-010	-4.10E-001	0.00E+000	0.00E+000	-9.72E-001	-5.81E-019	1.38E-020	1.19E-018	0.00E+000	0.00E+000	-6.70E+003	-9.54E+002	-6.84E+003	0.00E+000	0.00E+000	0.00E+000	1.03E+002	1.72E+001	-7.08E+002	1.56E-005	-1.50E-006	-6.28E-005	0.00E+000	0.00E+000	0.00E+000	-1.06E+004	-1.77E+003	7.29E+004	-2.86E-019	2.76E-020	1.15E-018	1	6.00E-003	6.00E-003	2.00E-002	2.60E-001
1.00E+017	-3.17E+004	-6.98E+002	7.66E+004	6.49E+017	1.00E+017	1.50E-001	6.49E+017	5.49E+017	5.49E+017	1.42E+003	4.84E+017	4.33E-002	8.44E-004	4.56E-001	0.00E+000	5.01E+005	2.70E+006	4.70E+002	2.34E+002	4.41E-002	1.09E-010	-4.12E-001	0.00E+000	0.00E+000	-9.74E-001	-6.63E-019	9.17E-021	1.21E-018	0.00E+000	0.00E+000	-6.70E+003	-9.54E+002	-6.84E+003	0.00E+000	0.00E+000	0.00E+000	1.03E+002	1.72E+001	-7.08E+002	1.56E-005	-1.50E-006	-6.28E-005	0.00E+000	0.00E+000	0.00E+000	-1.06E+004	-1.77E+003	7.29E+004	-2.86E-019	2.76E-020	1.15E-018	1	9.00E-003	9.00E-003	2.00E-002	2.60E-001
1.00E+017	-4.63E+004	-8.16E+002	8.28E+004	6.94E+017	1.00E+017	1.48E-001	6.94E+017	5.94E+017	5.94E+017	1.42E+003	5.11E+017	4.31E-002	1.01E-003	4.58E-001	0.00E+000	6.40E+005	2.95E+006	4.70E+002	2.18E+002	4.41E-002	1.26E-010	-4.14E-001	0.00E+000	0.00E+000	-9.76E-001	-9.16E-019	3.11E-021	1.11E-018	0.00E+000	0.00E+000	-5.48E+003	-4.04E+003	-6.70E+003	0.00E+000	0.00E+000	0.00E+000	4.28E+002	9.90E+000	-9.16E+002	5.62E-005	6.92E-007	-6.91E-005	0.00E+000	0.00E+000	0.00E+000	-5.29E+004	-1.22E+003	1.13E+005	-8.44E-019	-1.04E-020	1.04E-018	1	1.20E-002	1.20E-002	2.00E-002	2.60E-001
1.00E+017	-6.70E+004	-7.87E+002	1.07E+005	7.41E+017	1.00E+017	1.47E-001	7.41E+017	6.41E+017	6.41E+017	1.42E+003	5.45E+017	4.30E-002	1.14E-003	4.60E-001	0.00E+000	7.70E+005	3.14E+006	4.70E+002	2.05E+002	4.41E-002	1.43E-010	-4.15E-001	0.00E+000	0.00E+000	-9.78E-001	-1.16E-018	-7.82E-022	1.22E-018	0.00E+000	0.00E+000	-5.48E+003	-4.04E+003	-6.70E+003	0.00E+000	0.00E+000	0.00E+000	4.28E+002	9.90E+000	-9.16E+002	5.62E-005	6.92E-007	-6.91E-005	0.00E+000	0.00E+000	0.00E+000	-5.29E+004	-1.22E+003	1.13E+005	-8.44E-019	-1.04E-020	1.04E-018	1	1.50E-002	1.50E-002	2.00E-002	2.60E-001
1.00E+017	-8.76E+004	-7.58E+002	1.30E+005	7.88E+017	1.00E+017	1.45E-001	7.88E+017	6.88E+017	6.88E+017	1.42E+003	5.78E+017	4.29E-002	1.27E-003	4.61E-001	0.00E+000	8.99E+005	3.34E+006	4.70E+002	1.93E+002	4.41E-002	1.60E-010	-4.17E-001	0.00E+000	0.00E+000	-9.79E-001	-1.40E-018	-4.67E-021	1.32E-018	0.00E+000	0.00E+000	-5.48E+003	-4.04E+003	-6.70E+003	0.00E+000	0.00E+000	0.00E+000	4.28E+002	9.90E+000	-9.16E+002	5.62E-005	6.92E-007	-6.91E-005	0.00E+000	0.00E+000	0.00E+000	-5.29E+004	-1.22E+003	1.13E+005	-8.44E-019	-1.04E-020	1.04E-018	1	1.80E-002	1.80E-002	2.00E-002	2.60E-001
1.00E+017	-1.09E+005	-6.21E+002	1.35E+005	8.03E+017	1.00E+017	1.44E-001	8.03E+017	7.03E+017	7.03E+017	1.42E+003	5.92E+017	4.26E-002	1.59E-003	4.62E-001	0.00E+000	1.11E+006	4.09E+006	4.70E+002	1.85E+002	4.41E-002	1.93E-010	-4.18E-001	0.00E+000	0.00E+000	-9.80E-001	-1.68E-018	-6.49E-021	1.12E-018	0.00E+000	0.00E+000	-2.62E+003	-4.70E+003	-6.70E+003	0.00E+000	0.00E+000	0.00E+000	1.27E+003	2.23E+000	-9.16E+002	1.28E-004	2.71E-006	-6.91E-005	0.00E+000	0.00E+000	0.00E+000	-1.46E+005	-2.57E+002	1.06E+005	-2.01E-018	-4.24E-020	1.08E-018	1	2.10E-002	2.10E-002	2.00E-002	2.60E-001
1.00E+017	-1.68E+005	-4.50E+002	1.24E+005	8.07E+017	1.00E+017	1.43E-001	8.07E+017	7.07E+017	7.07E+017	1.42E+003	5.99E+017	4.21E-002	2.00E-003	4.63E-001	0.00E+000	1.44E+006	4.98E+006	4.70E+002	1.80E+002	4.41E-002	2.45E-010	-4.19E-001	0.00E+000	0.00E+000	-9.81E-001	-2.36E-018	-5.76E-021	7.96E-019	0.00E+000	0.00E+000	-2.23E+003	-4.70E+003	-6.31E+003	0.00E+000	0.00E+000	0.00E+000	1.41E+003	-4.03E+001	-7.79E+002	1.77E-004	4.00E-006	-2.01E-005	0.00E+000	0.00E+000	0.00E+000	-1.81E+005	5.18E+003	1.00E+005	-2.44E-018	-5.49E-020	2.77E-019	1	2.40E-002	2.40E-002	2.00E-002	2.60E-001
1.00E+017	-2.30E+005	-2.79E+002	1.12E+005	8.12E+017	1.00E+017	1.43E-001	8.12E+017	7.12E+017	7.12E+017	1.42E+003	6.05E+017	4.17E-002	2.43E-003	4.64E-001	0.00E+000	1.78E+006	5.87E+006	4.70E+002	1.76E+002	4.41E-002	2.98E-010	-4.19E-001	0.00E+000	0.00E+000	-9.82E-001	-3.08E-018	-4.85E-021	4.65E-019	0.00E+000	0.00E+000	-2.23E+003	-4.70E+003	-6.31E+003	0.00E+000	0.00E+000	0.00E+000	1.41E+003	-4.03E+001	-7.79E+002	1.77E-004	4.00E-006	-2.01E-005	0.00E+000	0.00E+000	0.00E+000	-1.81E+005	5.18E+003	1.00E+005	-2.44E-018	-5.49E-020	2.77E-019	1	2.70E-002	2.70E-002	2.00E-002	2.60E-001
