"AcceptorConcentration","ElectricField:0","ElectricField:1","ElectricField:2","AugerRecombination","BandGap","BandgapNarrowing","ConductionBandEnergy","DonorConcentration","DopingConcentration","ElectronAffinity","ElectrostaticPotential","ImpactIonization","IntrinsicDensity","LatticeTemperature","QuasiFermiPotential","SpaceCharge","TotalRecombination","ValenceBandEnergy","eAlphaAvalanche","eDensity","eEparallel","eImpactIonization","eMobility","eQuasiFermiPotential","eVelocity","hAlphaAvalanche","hDensity","hEparallel","hImpactIonization","hMobility","hQuasiFermiPotential","hVelocity","srhRecombination","TotalCurrentDensity:0","TotalCurrentDensity:1","TotalCurrentDensity:2","eCurrentDensity:0","eCurrentDensity:1","eCurrentDensity:2","eGradQuasiFermi:0","eGradQuasiFermi:1","eGradQuasiFermi:2","hCurrentDensity:0","hCurrentDensity:1","hCurrentDensity:2","hGradQuasiFermi:0","hGradQuasiFermi:1","hGradQuasiFermi:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,1.5785252738e+01,1.4059551139e+01,1.3459279571e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4220506138e-02,8.6567605302e+17,7.6567605302e+17,4.0727403846e+00,4.6678310473e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.1301795645e+16,3.4759185207e+20,-1.0299387246e+00,0.0000000000e+00,7.3542259142e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,3.9970523975e-04,2.9744820205e+05,0.0000000000e+00,1.0483340422e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6223151300e-01,8.0642590357e+06,3.4759185207e+20,-9.8338650235e-01,-1.1253692255e+00,-3.4871760108e+04,-1.0170703736e+00,-1.1610908094e+00,-3.3866338156e+04,-4.7253108531e-03,-5.3828895426e-03,-2.0997814089e+02,3.3683871270e-02,3.5721583926e-02,-1.0054219524e+03,1.4297478809e+00,9.5333955133e-01,-1.2955937716e+05,1,1.9999999553e-02,5.0000000745e-02,5.0000000745e-02,1.9999999553e-02
1.0000000000e+17,1.0735684785e+01,9.8429850259e+00,1.4332189951e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4452936349e-02,8.5816247895e+17,7.5816247895e+17,4.0727403846e+00,4.6655067452e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.1735068884e+16,3.8367877710e+20,-1.0297062944e+00,0.0000000000e+00,7.2758501453e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,4.4106295393e-04,3.0072783229e+05,0.0000000000e+00,1.1576044611e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6500742395e-01,6.8105144764e+06,3.8367877710e+20,-1.7441763706e+00,-1.8428533577e+00,-3.4854667373e+04,-1.8038275606e+00,-1.9023427545e+00,-3.3848641282e+04,-9.9995533341e-03,-8.8927968008e-03,-2.1230174798e+02,5.9651190055e-02,5.9489396793e-02,-1.0060260916e+03,2.0232318780e+00,1.3230506576e+00,-8.2063921386e+04,1,2.1999999881e-02,5.0000000745e-02,5.0000000745e-02,2.1999999881e-02
1.0000000000e+17,5.6861168317e+00,5.6264189125e+00,1.5205100331e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4685366561e-02,8.5064890489e+17,7.5064890489e+17,4.0727403846e+00,4.6631824430e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2168342122e+16,4.1976570213e+20,-1.0294738642e+00,0.0000000000e+00,7.1974743765e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,4.8242066810e-04,3.0400746253e+05,0.0000000000e+00,1.2668748800e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6778333489e-01,5.5567699171e+06,4.1976570213e+20,-2.5049662388e+00,-2.5603374899e+00,-3.4837574638e+04,-2.5905847476e+00,-2.6435946996e+00,-3.3830944408e+04,-1.5273795815e-02,-1.2402704059e-02,-2.1462535506e+02,8.5618508841e-02,8.3257209660e-02,-1.0066302308e+03,2.6167158750e+00,1.6927617638e+00,-3.4568465609e+04,1,2.4000000209e-02,5.0000000745e-02,5.0000000745e-02,2.4000000209e-02
1.0000000000e+17,2.9860971743e+00,2.1494144943e+00,1.5935204860e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4999232616e-02,8.4106425864e+17,7.4106425864e+17,4.0727403846e+00,4.6600437825e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2402875475e+16,4.5857896090e+20,-1.0291599982e+00,0.0000000000e+00,7.1004638990e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,5.2558445021e-04,3.0744132474e+05,0.0000000000e+00,1.3850067344e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6994646604e-01,4.7967456363e+06,4.5857896090e+20,-2.6672858061e+00,-2.7252090461e+00,-3.4824949708e+04,-2.7599771023e+00,-2.8145381995e+00,-3.3817879272e+04,-1.5904354899e-02,-9.3119369952e-03,-2.1696325428e+02,9.2691296244e-02,8.9329153436e-02,-1.0070704359e+03,2.6744961112e+00,1.3571069536e+00,-1.0526960979e+04,1,2.6000000536e-02,5.0000000745e-02,5.0000000745e-02,2.6000000536e-02
1.0000000000e+17,2.6356255415e+00,-5.8803627948e-01,1.6522503384e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.5394534465e-02,8.2940854134e+17,7.2940854134e+17,4.0727403846e+00,4.6560907640e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2438669209e+16,5.0011855012e+20,-1.0287646963e+00,0.0000000000e+00,6.9848187215e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,5.7055429895e-04,3.1102941884e+05,0.0000000000e+00,1.5120000140e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.7149681784e-01,4.5304412715e+06,5.0011855012e+20,-2.2311404116e+00,-2.3374714381e+00,-3.4816792560e+04,-2.3120101371e+00,-2.4151767822e+00,-3.3809445852e+04,-1.1891326016e-02,3.7945037681e-04,-2.1931544566e+02,8.0869725556e-02,7.7705344157e-02,-1.0073467075e+03,2.1923399254e+00,3.1313264420e-01,-9.9393896506e+03,1,2.8000000864e-02,5.0000000745e-02,5.0000000745e-02,2.8000000864e-02
1.0000000000e+17,2.2851542351e+00,-3.3254845039e+00,1.7109801360e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.5789835945e-02,8.1775283490e+17,7.1775283490e+17,4.0727403846e+00,4.6521377492e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2474462910e+16,5.4165810065e+20,-1.0283693948e+00,0.0000000000e+00,6.8691736516e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,6.1552410582e-04,3.1461750961e+05,0.0000000000e+00,1.6389931753e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.7304716820e-01,4.2641371547e+06,5.4165810065e+20,-1.7949954232e+00,-1.9497341912e+00,-3.4808635419e+04,-1.8640435891e+00,-2.0158157369e+00,-3.3801012440e+04,-7.8783008699e-03,1.0070828723e-02,-2.2166763484e+02,6.9048165878e-02,6.6081545704e-02,-1.0076229789e+03,1.7101841886e+00,-7.3084069296e-01,-9.3518188700e+03,1,2.9999999329e-02,5.0000000745e-02,5.0000000745e-02,2.9999999329e-02
1.0000000000e+17,1.9346848231e+00,-6.0629344574e+00,1.7697100347e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.6185138016e-02,8.0609711389e+17,7.0609711389e+17,4.0727403846e+00,4.6481847285e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2510260049e+16,5.8319772540e+20,-1.0279740928e+00,0.0000000000e+00,6.7535284041e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,6.6049399643e-04,3.1820560706e+05,0.0000000000e+00,1.7659865634e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.7459752144e-01,3.9978325415e+06,5.8319772540e+20,-1.3588493171e+00,-1.5619965415e+00,-3.4800478327e+04,-1.4160758806e+00,-1.6164542655e+00,-3.3792579078e+04,-3.8652918572e-03,1.9762213227e-02,-2.2401982840e+02,5.7226563501e-02,5.4457724037e-02,-1.0078992489e+03,1.2280453133e+00,-1.7748041699e+00,-8.7642469967e+03,1,3.2000001520e-02,5.0000000745e-02,5.0000000745e-02,3.2000001520e-02
1.0000000000e+17,1.5842131902e+00,-8.8003852312e+00,1.8284398871e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.6580439864e-02,7.9444139659e+17,6.9444139659e+17,4.0727403846e+00,4.6442317100e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2546053784e+16,6.2473731462e+20,-1.0275787909e+00,0.0000000000e+00,6.6378832265e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,7.0546384517e-04,3.2179370117e+05,0.0000000000e+00,1.8929798430e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.7614787324e-01,3.7315281767e+06,6.2473731462e+20,-9.2270392256e-01,-1.1742589335e+00,-3.4792321179e+04,-9.6810891538e-01,-1.2170928483e+00,-3.3784145658e+04,1.4773702625e-04,2.9453600599e-02,-2.2637201978e+02,4.5404992813e-02,4.2833914759e-02,-1.0081755206e+03,7.4588912746e-01,-2.8187784793e+00,-8.1766756688e+03,1,3.4000001848e-02,5.0000000745e-02,5.0000000745e-02,3.4000001848e-02
1.0000000000e+17,1.2337422102e+00,-1.1537830906e+01,1.8871696300e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.6975740977e-02,7.8278570101e+17,6.8278570101e+17,4.0727403846e+00,4.6402786989e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2581847452e+16,6.6627682647e+20,-1.0271834898e+00,0.0000000000e+00,6.5222382644e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,7.5043361016e-04,3.2538178859e+05,0.0000000000e+00,2.0199728861e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.7769822215e-01,3.4652243080e+06,6.6627682647e+20,-4.8655934043e-01,-7.8652204775e-01,-3.4784164046e+04,-5.2014278458e-01,-8.1773217488e-01,-3.3775712254e+04,4.1607584348e-03,3.9144969920e-02,-2.2872420678e+02,3.3583444145e-02,3.1210127131e-02,-1.0084517918e+03,2.6373383974e-01,-3.8627508442e+00,-7.5891054354e+03,1,3.5999998450e-02,5.0000000745e-02,5.0000000745e-02,3.5999998450e-02
1.0000000000e+17,1.0142494504e+00,-1.2324839651e+01,2.0075880565e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.7404860263e-02,7.7052740917e+17,6.7052740917e+17,4.0727403846e+00,4.6359875060e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2613127231e+16,7.0949394944e+20,-1.0267543705e+00,0.0000000000e+00,6.4006677232e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,7.9641965430e-04,3.3069670683e+05,0.0000000000e+00,2.1524903891e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.7914004661e-01,3.1955183884e+06,7.0949394944e+20,-9.7908063737e-02,-4.2289426862e-01,-3.4774554453e+04,-1.2027719435e-01,-4.4297961522e-01,-3.3765810612e+04,7.7358400834e-03,4.3197995953e-02,-2.3242687916e+02,2.2369130611e-02,2.0085346606e-02,-1.0087438411e+03,-7.8861728559e-02,-4.2707282787e+00,-6.9840825863e+03,1,3.7999998778e-02,5.0000000745e-02,5.0000000745e-02,3.7999998778e-02
